Order ID,Order Date,Ship Mode,Customer ID,Customer Name,Segment,State,Region,Category,Sub Category,Product Name,Sales,Quantity,Discount,Profit
CA-2016-152156,11/08/2016,Second Class,CG-12520,Claire Gute,Consumer,Kentucky,South,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0,41.9136
CA-2016-152156,11/08/2016,Second Class,CG-12520,Claire Gute,Consumer,Kentucky,South,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0,219.582
CA-2016-138688,6/12/2016,Second Class,DV-13045,Darrin Van Huff,Corporate,California,West,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0,6.8714
US-2015-108966,10/11/2015,Standard Class,SO-20335,Sean O'Donnell,Consumer,Florida,South,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,-383.031
US-2015-108966,10/11/2015,Standard Class,SO-20335,Sean O'Donnell,Consumer,Florida,South,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2,0.2,2.5164
CA-2014-115812,6/09/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,California,West,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0,14.1694
CA-2014-115812,6/09/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,California,West,Office Supplies,Art,Newell 322,7.28,4,0,1.9656
CA-2014-115812,6/09/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,California,West,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,90.7152
CA-2014-115812,6/09/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,California,West,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,0.2,5.7825
CA-2014-115812,6/09/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,California,West,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0,34.47
CA-2014-115812,6/09/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,California,West,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.3092
CA-2014-115812,6/09/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,California,West,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,4,0.2,68.3568
CA-2017-114412,4/15/2017,Standard Class,AA-10480,Andrew Allen,Consumer,North Carolina,South,Office Supplies,Paper,Xerox 1967,15.552,3,0.2,5.4432
CA-2016-161389,12/05/2016,Standard Class,IM-15070,Irene Maddox,Consumer,Washington,West,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922
US-2015-118983,11/22/2015,Standard Class,HP-14815,Harold Pawlan,Home Office,Texas,Central,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,-123.858
US-2015-118983,11/22/2015,Standard Class,HP-14815,Harold Pawlan,Home Office,Texas,Central,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.8,-3.816
CA-2014-105893,11/11/2014,Standard Class,PK-19075,Pete Kriz,Consumer,Wisconsin,Central,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0,13.3176
CA-2014-167164,5/13/2014,Second Class,AG-10270,Alejandro Grove,Consumer,Utah,West,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,0,9.99
CA-2014-143336,8/27/2014,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,California,West,Office Supplies,Art,Newell 341,8.56,2,0,2.4824
CA-2014-143336,8/27/2014,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,California,West,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.011
CA-2014-143336,8/27/2014,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,California,West,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.384
CA-2016-137330,12/09/2016,Standard Class,KB-16585,Ken Black,Corporate,Nebraska,Central,Office Supplies,Art,Newell 318,19.46,7,0,5.0596
CA-2016-137330,12/09/2016,Standard Class,KB-16585,Ken Black,Corporate,Nebraska,Central,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0,15.6884
US-2017-156909,7/16/2017,Second Class,SF-20065,Sandra Flanagan,Consumer,Pennsylvania,East,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.0196
CA-2015-106320,9/25/2015,Standard Class,EB-13870,Emily Burns,Consumer,Utah,West,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0,240.2649
CA-2016-121755,1/16/2016,Second Class,EH-13945,Eric Hoffmann,Consumer,California,West,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2,0.2,4.2224
CA-2016-121755,1/16/2016,Second Class,EH-13945,Eric Hoffmann,Consumer,California,West,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,0,11.7741
US-2015-150630,9/17/2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,Pennsylvania,East,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522
US-2015-150630,9/17/2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,Pennsylvania,East,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,0.7,-7.0532
US-2015-150630,9/17/2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,Pennsylvania,East,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,15.525
US-2015-150630,9/17/2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,Pennsylvania,East,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2,0.2,1.1016
US-2015-150630,9/17/2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,Pennsylvania,East,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,9.7092
US-2015-150630,9/17/2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,Pennsylvania,East,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,0.7,-5.715
US-2015-150630,9/17/2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,Pennsylvania,East,Office Supplies,Art,Lumber Crayons,15.76,2,0.2,3.546
CA-2017-107727,10/19/2017,Second Class,MA-17560,Matt Abelman,Home Office,Texas,Central,Office Supplies,Paper,Easy-staple paper,29.472,3,0.2,9.9468
CA-2016-117590,12/08/2016,First Class,GH-14485,Gene Hale,Corporate,Texas,Central,Technology,Phones,GE 30524EE4,1097.544,7,0.2,123.4737
CA-2016-117590,12/08/2016,First Class,GH-14485,Gene Hale,Corporate,Texas,Central,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.963
CA-2015-117415,12/27/2015,Standard Class,SN-20710,Steve Nguyen,Home Office,Texas,Central,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,0.2,35.415
CA-2015-117415,12/27/2015,Standard Class,SN-20710,Steve Nguyen,Home Office,Texas,Central,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.32,-46.9764
CA-2015-117415,12/27/2015,Standard Class,SN-20710,Steve Nguyen,Home Office,Texas,Central,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3,0.3,-15.147
CA-2015-117415,12/27/2015,Standard Class,SN-20710,Steve Nguyen,Home Office,Texas,Central,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,4,0.2,41.7564
CA-2017-120999,9/10/2017,Standard Class,LC-16930,Linda Cazamias,Corporate,Illinois,Central,Technology,Phones,Panasonic Kx-TS550,147.168,4,0.2,16.5564
CA-2016-101343,7/17/2016,Standard Class,RA-19885,Ruben Ausman,Corporate,California,West,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,0,3.894
CA-2017-139619,9/19/2017,Standard Class,ES-14080,Erin Smith,Corporate,Florida,South,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,0.2,9.5616
CA-2016-118255,3/11/2016,First Class,ON-18715,Odella Nelson,Corporate,Minnesota,Central,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0,19.7714
CA-2016-118255,3/11/2016,First Class,ON-18715,Odella Nelson,Corporate,Minnesota,Central,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0,8.2062
CA-2014-146703,10/20/2014,Second Class,PO-18865,Patrick O'Donnell,Consumer,Michigan,Central,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0,8.4784
